Category,Topic,Keywords,Description,Do,Don't,Code Example,Notes,Docs URL
Kaplun,SDK 57 stack,expo sdk 57 react native 0.86 react 19.2 bun,Kaplun targets Expo SDK 57 with RN 0.86 React 19.2 and Bun as package manager.,Keep packages aligned with SDK 57; install natives via bunx expo install / bun expo install.,Mix SDK majors or hand-pick react-native versions.,"// package.json\n\"expo\": \"^57.0.0\"\n// install: bun expo install <pkg>",Read https://docs.expo.dev/versions/v57.0.0/ before Expo-specific code.,https://docs.expo.dev/versions/v57.0.0/
Kaplun,Project layout,src/app tabs components lib hooks Kaplun structure,Kaplun uses src/app file routes plus shared clay/tw/lib/hooks.,Put screens in src/app/(tabs)/... shared UI in components/clay and src/tw infra in src/lib.,Dump business logic into route files or invent parallel app/ at root.,"src/app/_layout.tsx\nsrc/app/(tabs)/_layout.tsx\nsrc/app/(tabs)/(home)/index.tsx\nsrc/components/clay/\nsrc/tw/\nsrc/lib/\nsrc/hooks/",Tab groups: (home) (automate) (messages) (insights) (profile).,https://docs.expo.dev/router/create-pages/
Kaplun,app.json Kaplun,app.json scheme kaplun plugins userInterfaceStyle light,Kaplun manifest: scheme kaplun orientation portrait userInterfaceStyle light plus Clerk/Router plugins.,Preserve plugins order (expo-secure-store first) and scheme kaplun.,Flip userInterfaceStyle without checking Clay light-only UI.,"{\n  \"expo\": {\n    \"scheme\": \"kaplun\",\n    \"userInterfaceStyle\": \"light\",\n    \"plugins\": [\"expo-secure-store\", \"@clerk/expo\", \"expo-router\", ...]\n  }\n}",App currently forces light UI — not automatic.,https://docs.expo.dev/versions/latest/config/app/
Kaplun,EXPO_PUBLIC env,EXPO_PUBLIC_CLERK APPWRITE IG_API_BASE_URL secrets,Public env vars are inlined into the JS bundle — only non-secrets.,Use EXPO_PUBLIC_* for Clerk publishable key Appwrite endpoint/project IG API base IG app id redirect.,Put private server secrets in EXPO_PUBLIC_ or hardcode them.,"process.env.EXPO_PUBLIC_IG_API_BASE_URL\nprocess.env.EXPO_PUBLIC_CLERK_PUBLISHABLE_KEY",Required: CLERK_PUBLISHABLE_KEY APPWRITE_ENDPOINT APPWRITE_PROJECT_ID IG_API_BASE_URL IG_APP_ID IG_OAUTH_REDIRECT_URI.,https://docs.expo.dev/guides/environment-variables/
Kaplun,Auth Clerk + bridge,Clerk AuthGate ensureAppwriteSession auth-bridge,Kaplun auth: Clerk → Gin /auth/appwrite-session → Appwrite session via AuthGate.,Gate data hooks on bridge isReady; use Clerk Bearer only for auth-bridge and automations.,Call Instagram Graph through a proxy or recreate sessions outside auth-bridge.,"// AuthGate ensures Appwrite session then mounts <Slot />\n// EXPO_PUBLIC_IG_API_BASE_URL used by auth-bridge + automations only",bridge_failed ≠ session_expired (Instagram token).,https://docs.expo.dev/develop/authentication/
Kaplun,Instagram OAuth WebBrowser,expo-web-browser openAuthSessionAsync IG OAuth,Instagram OAuth uses expo-web-browser openAuthSessionAsync then stores token on creators row.,Keep redirect URI and IG App ID in env; match backend INSTAGRAM_APP_ID.,Use Facebook App ID instead of Instagram App ID.,"import { openAuthSessionAsync } from 'expo-web-browser';\nawait openAuthSessionAsync(authUrl, redirectDeepLink);",See src/lib/instagram-oauth.ts.,https://docs.expo.dev/versions/latest/sdk/webbrowser/
Kaplun,Images via @/tw,Image className tw image not expo-image screens,Screens use @/tw/image (RN Image + useCssElement) for className.,Import Image from @/tw/image in screens/components.,Import expo-image or RN Image directly in screens for Clay UI.,"import { Image } from '@/tw/image';\n<Image className='h-12 w-12 rounded-full' source={{ uri }} />",expo-image is a dependency/plugin but Kaplun screen convention is @/tw/image.,https://docs.expo.dev/versions/latest/sdk/image/
Kaplun,EdgeBlur not BlurView,EdgeBlur LinearGradient Android crash expo-blur,Kaplun EdgeBlur is a LinearGradient scrim — real BlurView crashed Android on transitions.,Use EdgeBlur / LinearGradient for tab scrims; reserve BlurView for proven safe surfaces.,Drop BlurView onto every screen transition for glass effects.,"import { LinearGradient } from 'expo-linear-gradient';\n// EdgeBlur keeps blurTarget/intensity props for call-site compat only",Documented anti-pattern in AGENTS.md.,https://docs.expo.dev/versions/latest/sdk/blur-view/
Kaplun,Reanimated platform bridge,reanimated-platform web stub metro alias worklets,Always import Reanimated via @/lib/reanimated-platform; web aliases to stubs.,Add .web.tsx for Reanimated UI; keep metro web aliases.,Import react-native-reanimated directly in app screens.,"import Animated from '@/lib/reanimated-platform';\nimport { AnimatedView } from '@/tw/animated';",Issue #8285 — worklets crash on web without stubs.,https://docs.expo.dev/develop/user-interface/animation/
Kaplun,jest-expo tests,jest-expo bun test transformIgnorePatterns mocks,Kaplun uses jest-expo + jest.setup.ts global mocks; run bun test.,Extend transformIgnorePatterns for nativewind/react-native-css/clerk; check jest.setup before new mocks.,Add duplicate Clerk mocks when __mocks__/@clerk/expo.ts already exists.,"bun test\nbun test -- --testPathPattern=instagram",jest.setup.ts is large — read it first.,https://docs.expo.dev/develop/unit-testing/
Routing,Expo Router recommended,expo-router file-based routing universal deep linking,Expo recommends Expo Router (file-based) over hand-rolled React Navigation for Expo apps.,Use expo-router layouts Stack/Tabs; keep main entry expo-router/entry.,Introduce a second navigation root beside expo-router.,"// package.json\n\"main\": \"expo-router/entry\"",Typed routes dynamic routes lazy bundling automatic deep links.,https://docs.expo.dev/router/introduction/
Routing,File-based routes,app directory index _layout file convention routes,Files under app/ become routes; index is the directory default; _layout wraps children.,Use index.tsx and _layout.tsx; colocate screens by feature group.,Create folders that are not routes or layouts without intent.,"src/app/(tabs)/(automate)/index.tsx\nsrc/app/(tabs)/(automate)/[automationId].tsx",Kaplun uses src/app (not root app/).,https://docs.expo.dev/router/basics/core-concepts/
Routing,Route groups,route groups (tabs) (home) parentheses URL,Parentheses groups organize layouts without URL segments.,Use (tabs) and per-tab groups for shared layouts.,Rely on groups for deep-link path segments users must see.,"src/app/(tabs)/_layout.tsx → Tabs\nsrc/app/(tabs)/(home)/index.tsx",Kaplun: (home) (automate) (messages) (insights) (profile).,https://docs.expo.dev/router/layouts/
Routing,Dynamic routes,dynamic [id] useLocalSearchParams string params,Dynamic segments use [param].tsx; params are strings.,Type and validate useLocalSearchParams; coerce IDs explicitly.,Treat params as numbers/objects or store global state in the URL.,"const { automationId } = useLocalSearchParams<{ automationId: string }>();",See (automate)/[automationId].tsx.,https://docs.expo.dev/router/create-pages/
Routing,Stack layout,Stack Stack.Screen options headerShown title,Stack pushes screens with platform transitions.,Configure options in group _layout or per Screen; hide headers for tab roots when Clay owns chrome.,Nest unbounded Stacks without hierarchy.,"import { Stack } from 'expo-router';\n<Stack>\n  <Stack.Screen name='index' options={{ headerShown: false }} />\n</Stack>",Kaplun tab groups each have a Stack _layout.,https://docs.expo.dev/router/advanced/stack/
Routing,Tabs layout,Tabs tabBar ClayTabBar five tabs screenOptions,Tabs create bottom navigation; Kaplun injects ClayTabBar.,Keep ≤5 tabs; provide icon+label; use tabBar prop for custom bar.,Add a 6th tab or nest another tab bar inside a tab.,"import { Tabs } from 'expo-router';\n<Tabs tabBar={(props) => <ClayTabBar {...props} />} />",Clearance via screen-shell constants + EdgeBlur scrim.,https://docs.expo.dev/router/advanced/tabs/
Routing,Link declarative,Link href asChild expo-router navigation,Link is declarative navigation to an href.,Use Link for static destinations; asChild to style with Pressable/@/tw.,Use Link for async/destructive flows that need confirmation first.,"import { Link } from 'expo-router';\n<Link href='/(tabs)/(profile)' asChild>\n  <Pressable><Text>Profile</Text></Pressable>\n</Link>",Kaplun also wraps Link in @/tw for className.,https://docs.expo.dev/router/navigating-pages/
Routing,useRouter imperative,useRouter push replace back canGoBack,Imperative navigation from event handlers and auth redirects.,Call router.push/replace/back inside callbacks; replace for auth gates.,Call router methods during render.,"import { useRouter } from 'expo-router';\nconst router = useRouter();\nrouter.replace('/(tabs)/(home)');",Prefer replace for login→app to avoid back-to-auth.,https://docs.expo.dev/router/navigating-pages/
Routing,useFocusEffect,useFocusEffect useCallback refetch invalidateQueries,Run effects when a screen gains focus (refetch invalidate).,Wrap callback in useCallback; invalidate React Query keys on focus when needed.,Omit useCallback (effect re-subscribes every render).,"import { useFocusEffect } from 'expo-router';\nuseFocusEffect(useCallback(() => {\n  queryClient.invalidateQueries({ queryKey: ['threads'] });\n}, [queryClient]));",Complements AppState realtime refetch patterns.,https://docs.expo.dev/router/reference/hooks/
Routing,usePathname segments,usePathname useSegments analytics active tab,Read current path/segments for analytics or active UI.,Use for highlighting; do not treat as sole navigation state machine.,Parse groups out manually when helpers already strip them.,"const pathname = usePathname();",Path typically omits group names.,https://docs.expo.dev/router/reference/hooks/
Routing,Protected routes auth,protected routes Expo Router v5 isAuthenticated AuthGate,Router protected routes gate screens on auth; Kaplun uses AuthGate + Slot.,Keep AuthGate as session gate; consider protected routes for finer screen locks.,Duplicate conflicting auth redirects in every screen.,"// Kaplun: AuthGate mounts Slot after fonts + bridge\n// Expo Router also supports protected routes in v5+",See docs/router/advanced/protected.,https://docs.expo.dev/router/advanced/protected/
Routing,Deep linking scheme,deep link kaplun:// uri-scheme linking into app,Scheme kaplun enables deep links into Expo Router hrefs.,Test with uri-scheme / adb; use Router href shapes.,Hand-build URLs that ignore Router path conventions.,"npx uri-scheme open kaplun://(tabs)/(home) --ios",Magic-link auth also depends on deep linking.,https://docs.expo.dev/linking/into-your-app/
UI,Safe areas context,SafeAreaProvider SafeAreaView useSafeAreaInsets notch,Use react-native-safe-area-context (comes with Expo Router).,Wrap root with SafeAreaProvider; prefer insets/helpers over ignoring notches.,Ignore Android edge-to-edge overlaps.,"import { SafeAreaProvider, useSafeAreaInsets } from 'react-native-safe-area-context';\nconst insets = useSafeAreaInsets();",Kaplun root _layout already uses SafeAreaProvider; also NativeWind p-safe / screen-shell.,https://docs.expo.dev/develop/user-interface/safe-areas/
UI,System bars status nav,expo-status-bar expo-navigation-bar edge-to-edge,Customize status bar (all) and Android navigation bar.,Match StatusBar style to canvas contrast; use navigation-bar plugin for Android.,Assume translucent bars without safe-area padding on Android 15+.,"import { StatusBar } from 'expo-status-bar';\n<StatusBar style='dark' />",Kaplun app.json sets expo-navigation-bar style light.,https://docs.expo.dev/develop/user-interface/system-bars/
UI,Fonts expo-font Inter,expo-font useFonts useClayFonts OTF Inter,Load Inter via expo-font; prefer static OTF/TTF; variable fonts incomplete.,Gate UI on useClayFonts(); match PostScript names; prefer OTF.,Render text before fonts load or use variable font files.,"import { useClayFonts } from '@/lib/fonts';\nconst loaded = useClayFonts();\nif (!loaded) return null;",Config plugin embeds fonts for prod; useFonts works with Expo Go.,https://docs.expo.dev/develop/user-interface/fonts/
UI,Splash and icon,expo-splash-screen icon adaptiveIcon png 1024,Configure splash via plugin; icons must be square PNG; Android adaptive layers.,Test splash on preview/production builds not Expo Go; use 1024 PNG.,Test splash only in Expo Go/dev-client (own splash interferes).,"plugins: [['expo-splash-screen', { image: './assets/splash-icon.png', backgroundColor: '#fffaf0' }]]",iOS may cache launch screens — run:ios --no-build-cache when stuck.,https://docs.expo.dev/develop/user-interface/splash-screen-and-app-icon/
UI,Color themes appearance,userInterfaceStyle automatic light dark useColorScheme expo-system-ui,Appearance follows userInterfaceStyle; Android needs expo-system-ui for the setting to apply.,Install expo-system-ui for Android; detect with useColorScheme.,Expect dark mode while Kaplun forces light without updating Clay tokens.,"// Kaplun app.json currently: userInterfaceStyle: 'light'\n// For system: 'automatic' + expo-system-ui",Absent property defaults to light.,https://docs.expo.dev/develop/user-interface/color-themes/
UI,Animation Reanimated,react-native-reanimated Animated API Moti,Prefer Reanimated for performant animations; Animated API is built-in fallback.,Import via Kaplun reanimated-platform; keep transforms/opacity.,Animate layout width/height heavily or import reanimated raw on web.,"import Animated, { useSharedValue, withTiming } from '@/lib/reanimated-platform';",Default Expo template already includes Reanimated.,https://docs.expo.dev/develop/user-interface/animation/
Storage,SecureStore secrets,expo-secure-store tokens keychain keystore small values,Encrypt small secrets (tokens keys) on device.,Use SecureStore for credentials; Clerk tokenCache uses it.,Store large blobs or non-secrets in SecureStore.,"import * as SecureStore from 'expo-secure-store';\nawait SecureStore.setItemAsync('key', value);",First plugin in Kaplun app.json.,https://docs.expo.dev/versions/latest/sdk/securestore/
Storage,AsyncStorage preferences,AsyncStorage unencrypted preferences React Query persist,Unencrypted KV for preferences and persisted query cache.,Use for non-secret UI state / RQ persister; not for tokens.,Put Instagram/Clerk secrets in AsyncStorage.,"// Kaplun query-client persists success queries to AsyncStorage 24h",See Store data guide alternatives: SQLite FileSystem.,https://docs.expo.dev/develop/user-interface/store-data/
APIs,expo-constants,expo-constants expoConfig scheme version,Read resolved app config at runtime.,Use Constants.expoConfig for scheme/version feature flags.,Store secrets in Constants.,"import Constants from 'expo-constants';\nConstants.expoConfig?.scheme",Useful with app.config dynamic values.,https://docs.expo.dev/versions/latest/sdk/constants/
APIs,expo-linking,expo-linking openURL createURL canOpenURL,Open external URLs and build deep links.,Use Linking.openURL for browser/store; Router for in-app.,Use Linking for in-app screen navigation.,"import * as Linking from 'expo-linking';\nLinking.openURL('https://example.com');",Pairs with scheme kaplun.,https://docs.expo.dev/versions/latest/sdk/linking/
APIs,expo-haptics,expo-haptics impact feedback selection,Tactile feedback for presses and confirmations.,Use light impact on primary taps; respect reduce-motion/haptics settings.,Fire haptics on every scroll tick.,"import * as Haptics from 'expo-haptics';\nHaptics.impactAsync(Haptics.ImpactFeedbackStyle.Light);",Installed in Kaplun package.json.,https://docs.expo.dev/versions/latest/sdk/haptics/
APIs,expo-linear-gradient,expo-linear-gradient colors start end scrim,Gradients for backgrounds and EdgeBlur scrims.,Use for Clay atmosphere and tab-edge fades.,Use gradients as the only accessibility cue for text contrast.,"import { LinearGradient } from 'expo-linear-gradient';\n<LinearGradient colors={['#fffaf0', '#f9f8f5']} />",EdgeBlur implementation.,https://docs.expo.dev/versions/latest/sdk/linear-gradient/
APIs,expo-web-browser AuthSession,expo-web-browser openAuthSessionAsync auth session,In-app browser auth sessions for OAuth.,Prefer openAuthSessionAsync for OAuth redirect loops.,Use a raw WebView for Meta OAuth without session helpers.,"await openAuthSessionAsync(authUrl, redirectUri);",Kaplun Instagram OAuth path.,https://docs.expo.dev/versions/latest/sdk/webbrowser/
APIs,expo-auth-session,expo-auth-session OAuth providers PKCE,Higher-level OAuth helpers (providers discovery PKCE).,Use when building custom OAuth beyond WebBrowser open.,Bypass PKCE for public mobile clients.,"import * as AuthSession from 'expo-auth-session';",Kaplun IG flow currently uses web-browser + manual URL; package present.,https://docs.expo.dev/versions/latest/sdk/auth-session/
Dev,Start server Bun,bun start expo start clear tunnel LAN,Start Metro with Bun scripts; clear cache when styles/native modules act stale.,Use bun start / bun start --android|ios|web; --clear when debugging.,Debug NativeWind against a dirty cache.,"bun start\nbun start -- --clear\nnpx expo start --tunnel",Tunnel is slower — prefer LAN/emulator.,https://docs.expo.dev/get-started/start-developing/
Dev,expo install versions,npx expo install bun expo install SDK aligned,expo install picks SDK-compatible native module versions.,Always bun expo install for Expo modules.,npm install latest unconstrained Expo packages.,"bun expo install expo-secure-store\nbunx expo install --fix",--fix aligns versions after upgrades.,https://docs.expo.dev/more/expo-cli/
Dev,Development builds,expo-dev-client development build vs Expo Go native modules,Dev build = your Expo Go with custom native code via expo-dev-client.,Use dev/preview builds for native modules and production-like testing.,Assume Expo Go covers all Kaplun native deps forever.,"bun expo install expo-dev-client\nbunx expo run:android\n# or: eas build --profile development --platform android",Rebuild after native deps app.json changes or SDK bumps (prebuild --clean).,https://docs.expo.dev/develop/development-builds/introduction/
Dev,When to rebuild native,prebuild --clean native modules app.json SDK upgrade,JS-only changes need expo start; native/config/SDK changes need regenerate+rebuild.,Run prebuild --clean then run:android|ios / EAS after native changes.,Keep hand-edited android/ios forever without CNG discipline.,"npx expo prebuild --clean\nnpx expo run:ios",ios/android are gitignored in Kaplun — CNG style.,https://docs.expo.dev/develop/development-builds/introduction/
Dev,Config plugins,config plugins app.json mods prebuild,Plugins modify native projects during prebuild.,Add official plugins to app.json plugins array; pass options as tuple.,Edit generated native projects for things a plugin already covers.,"plugins: [\n  'expo-secure-store',\n  ['expo-navigation-bar', { style: 'light' }],\n  'expo-font'\n]",Kaplun plugins: secure-store Clerk router web-browser font system-ui status-bar navigation-bar image.,https://docs.expo.dev/config-plugins/introduction/
