Category,Topic,Keywords,Description,Do,Don't,Code Example,Notes,Docs URL
Kaplun,@/tw primitives first,tw useCssElement className View Text Pressable Kaplun,Kaplun maps className via react-native-css useCssElement on @/tw wrappers — not raw RN or styled().,Import View Text Pressable TextInput ScrollView Image from @/tw in screens.,Import react-native View/Text for className styling in screens.,"import { View, Text, Pressable } from '@/tw';\n<View className='flex-1 bg-canvas px-md'>\n  <Text className='text-body-md text-ink'>Hello</Text>\n</View>",Exceptions: Platform Dimensions FlatList KeyboardAvoidingView and documented raw-RN Clay components.,https://www.nativewind.dev/docs
Kaplun,useCssElement bridge,useCssElement react-native-css className style map bridge,Bridge className to style with useCssElement from react-native-css (Kaplun NativeWind v5 pattern).,Wrap new primitives with useCssElement(Comp props { className: 'style' }) in src/tw.,Use NativeWind styled() or expect raw RN to accept className.,"import { useCssElement } from 'react-native-css';\nexport function View(props) {\n  return useCssElement(RNView, props, { className: 'style' });\n}",This is NOT cssInterop — Kaplun uses the react-native-css hook API.,https://www.nativewind.dev/docs
Kaplun,global.css theme tokens,@theme global.css clay tokens color spacing radius,All Clay design tokens live in src/global.css @theme — Tailwind v4 CSS config.,Add missing colors/spacing/radii to @theme then use semantic className.,Hardcode hex in components or invent ad-hoc arbitrary colors.,"// src/global.css\n@layer theme {\n  @theme {\n    --color-canvas: #fffaf0;\n    --color-ink: #0a0a0a;\n    --spacing-md: 16px;\n  }\n}\n// usage: className='bg-canvas text-ink p-md'",Imported once from src/app/_layout.tsx via import '@/global.css'.,https://www.nativewind.dev/docs/core-concepts/tailwindcss
Kaplun,cn class merge,cn twMerge clsx conditional className variants,Merge conditional Tailwind classes with cn from @/tw/cn.,Use cn('base' condition && 'extra') or compound clay* utilities.,String-concatenate classNames without twMerge (conflicts break).,"import { cn } from '@/tw/cn';\n<View className={cn('rounded-lg bg-surface-card', selected && 'border-border-strong')} />",Also exposes clayInput clayCard clayFeatureCardBase clayButtonBase.,https://www.nativewind.dev/docs/guides/custom-components
Kaplun,Android useCssElement bug,android layout balloon useCssElement StyleSheet ClayAnimatedButton,useCssElement can drop layout classes on Android (ballooned cards floating text).,If Android layout breaks switch that component to raw RN + StyleSheet.create like ClayAnimatedButton.,Force more NativeWind wrappers when Android layout already failed.,"// Prefer StyleSheet for fragile animated Clay controls\nconst styles = StyleSheet.create({ root: { backgroundColor: '#0a0a0a' } });",Documented on automate/profile screens and ClayAnimatedButton/ClaySpinner/AuthScreen.,https://www.nativewind.dev/docs/core-concepts/quirks
Kaplun,No StyleSheet in screens,StyleSheet.create screen className tailwind convention,Screens must style with className on @/tw — StyleSheet reserved for known Android-safe exceptions.,Write className strings for screen/layout UI.,Use StyleSheet.create inside screen files.,"// screen.tsx\nimport { View, Text } from '@/tw';\n<View className='flex-1 bg-canvas p-md'>\n  <Text className='text-title-sm text-ink'>Title</Text>\n</View>",Clay raw-RN exceptions are the only StyleSheet screens/components.,https://www.nativewind.dev/docs
Kaplun,Reanimated import bridge,reanimated-platform animated web stub className,Animate with @/lib/reanimated-platform or @/tw/animated — never direct reanimated import.,Import Animated from reanimated-platform; add .web.tsx for Reanimated components.,Import react-native-reanimated directly in app code.,"import Animated from '@/lib/reanimated-platform';\nimport { AnimatedView } from '@/tw/animated';",Metro aliases reanimated/worklets to stubs on web (#8285).,https://www.nativewind.dev/docs/api/with-nativewind
Setup,Metro withNativeWind,metro withNativewind nativewind/metro typescriptEnvPath,Configure Metro with withNativewind from nativewind/metro (Kaplun v5).,Use require('nativewind/metro') and keep inlineRequires after wrap.,Use typo package native-wind/metro or forget typescriptEnvPath.,"const { withNativewind } = require('nativewind/metro');\nmodule.exports = withNativewind(config, {\n  globalClassNamePolyfill: false,\n  typescriptEnvPath: 'nativewind-env.d.ts',\n});",Kaplun CSS entry is imported in _layout — not via metro input option.,https://www.nativewind.dev/docs/api/with-nativewind
Setup,CSS entry imports,global.css tailwindcss theme preflight utilities nativewind/theme,Single CSS entry imports Tailwind layers + nativewind/theme.,Keep @import order: theme.css preflight utilities then nativewind/theme.,Split multiple CSS entries or omit nativewind/theme.,"@import 'tailwindcss/theme.css' layer(theme);\n@import 'tailwindcss/preflight.css' layer(base);\n@import 'tailwindcss/utilities.css';\n@import 'nativewind/theme';",Passed through PostCSS (@tailwindcss/postcss) then Metro.,https://www.nativewind.dev/docs/getting-started/installation
Setup,PostCSS Tailwind v4,postcss @tailwindcss/postcss lightningcss,Kaplun uses Tailwind v4 via PostCSS plugin — no classic tailwind.config theme for tokens.,Keep postcss.config.mjs with @tailwindcss/postcss; tokens in @theme.,Reintroduce JS theme colors that duplicate global.css.,"// postcss.config.mjs\nexport default { plugins: { '@tailwindcss/postcss': {} } };",lightningcss pinned in package.json resolutions.,https://www.nativewind.dev/docs/core-concepts/tailwindcss
